Pays;MensualWage2023
Afrique du Sud;563
Albanie;631
Algérie;413
Allemagne;4498
Angola;178
Antigua-et-Barbuda;1666
Arabie Saoudite;2391
Argentine;1043
Arménie;611
Australie;5262
Autriche;4589
Azerbaïdjan;557
Bahamas;2666
Bahrein;2357
Bangladesh;238
Barbade;1773
Belgique;4544
Belize;599
Bénin;120
Biélorussie;648
Birmanie;101
Bolivie;300
Bosnie-Herzégovine;680
Botswana;635
Brésil;756
Brunei;2914
Bulgarie;1205
Burkina Faso;71
Burundi;19
Cambodge;151
Cameroun;138
Canada;4494
Cap-Vert;357
Centrafrique;39
Chili;1318
Chine;1117
Chypre;2583
Colombie;573
Comores;133
Congo-Brazzaville;206
Congo-Kinshasa;55
Corée du Sud;2958
Costa Rica;1154
Cote d'Ivoire;223
Croatie;1723
Danemark;6113
Djibouti;288
Dominique;743
Égypte;325
El Salvador;410
Émirats Arabes Unis;4441
Équateur;543
Espagne;2682
Estonie;2270
États-Unis;6692
Éthiopie;94
Fidji;465
Finlande;4449
France;3756
Gabon;663
Gambie;69
Géorgie;557
Ghana;195
Grèce;1882
Grenade;817
Guatemala;465
Guinée;113
Guinée Équatoriale;437
Guinée-Bissau;75
Guyana;1697
Haïti;145
Honduras;242
Hongrie;1652
Îles Marshall;631
Îles Palaos;1188
Îles Salomon;189
Inde;212
Indonésie;406
Iran;390
Iraq;467
Irlande;6699
Islande;6653
Israël;4585
Italie;3183
Jamaïque;513
Japon;3253
Jordanie;372
Kazakhstan;912
Kenya;176
Kirghizistan;142
Kiribati;311
Koweït;3845
Laos;177
Lesotho;97
Lettonie;1831
Liberia;61
Libye;631
Lituanie;2068
Luxembourg;7364
Macédoine;638
Madagascar;44
Malaisie;998
Malawi;53
Maldives;919
Mali;72
Malte;2853
Maroc;308
Maurice;961
Mauritanie;179
Mexique;1008
Micronésie;346
Moldavie;509
Mongolie;413
Monténégro;958
Mozambique;44
Namibie;406
Nauru;1841
Népal;114
Nicaragua;189
Niger;50
Nigéria;161
Norvège;8538
Nouvelle-Zélande;4051
Oman;1795
Ouganda;82
Ouzbékistan;197
Pakistan;125
Palestine;352
Panama;1501
Papouasie-Nouvelle-Guinée;237
Paraguay;517
Pays-Bas;5056
Pérou;583
Philippines;353
Pologne;1644
Portugal;2189
République Dominicaine;808
Roumanie;1389
Royaume-Uni;3983
Russie;1188
Rwanda;82
Saint-Christophe-et-Niévès;1782
Sainte-Lucie;1033
Saint-Vincent-et-les Grenadines;839
Samoa Occidentales;335
Sao Tomé-et-Principe;207
Sénégal;138
Serbie;836
Seychelles;1412
Sierra Leone;47
Singapour;5883
Slovaquie;1899
Slovénie;2552
Somalie;51
Soudan;83
Sri Lanka;295
Suède;5138
Suisse;7930
Suriname;447
Swaziland;322
Tadjikistan;120
Tanzanie;101
Tchad;59
Tchéquie;2259
Thaïlande;598
Timor Oriental;178
Togo;86
Trinité-et-Tobago;1495
Tunisie;314
Turquie;971
Tuvalu;629
Ukraine;423
Uruguay;1628
Vanuatu;305
Viêt Nam;348
Zambie;110
Zimbabwe;145
