Pays;MensualWage2013
Afrique du Sud;671
Albanie;378
Algérie;503
Allemagne;3935
Angola;393
Antigua-et-Barbuda;1190
Arabie Saoudite;2058
Argentine;1073
Arménie;343
Australie;5508
Autriche;4227
Azerbaïdjan;621
Bahamas;2183
Bahrein;2066
Bangladesh;86
Barbade;1346
Belgique;3992
Belize;458
Bénin;98
Biélorussie;586
Birmanie;104
Bolivie;212
Bosnie-Herzégovine;430
Botswana;559
Brésil;1063
Brunei;3710
Bulgarie;633
Burkina Faso;63
Burundi;20
Cambodge;80
Cameroun;126
Canada;4400
Cap-Vert;303
Centrafrique;29
Chili;1270
Chine;562
Chypre;2322
Colombie;667
Comores;132
Congo-Brazzaville;299
Congo-Kinshasa;33
Corée du Sud;2248
Costa Rica;820
Cote d'Ivoire;110
Croatie;1151
Cuba;552
Danemark;5267
Dominique;576
Égypte;239
El Salvador;283
Émirats Arabes Unis;3821
Équateur;493
Espagne;2436
Estonie;1512
États-Unis;4488
Éthiopie;38
Fidji;373
Finlande;4126
France;3650
Gabon;743
Gambie;56
Géorgie;390
Ghana;148
Grèce;1869
Grenade;570
Guatemala;282
Guinée;58
Guinée Équatoriale;1012
Guinée-Bissau;55
Guyana;469
Haïti;118
Honduras;164
Hongrie;1127
Îles Marshall;357
Îles Palaos;965
Îles Salomon;178
Inde;125
Indonésie;309
Iran;612
Iraq;549
Irlande;3628
Islande;4098
Israël;2923
Italie;2964
Jamaïque;431
Japon;4071
Jordanie;353
Kazakhstan;987
Kenya;94
Kirghizistan;99
Kiribati;254
Koweït;4275
Laos;133
Lesotho;119
Lettonie;1238
Liban;664
Liberia;52
Libye;1049
Lituanie;1278
Luxembourg;7097
Macédoine;450
Madagascar;42
Malaisie;883
Malawi;49
Maldives;587
Mali;63
Malte;1948
Maroc;279
Maurice;841
Mauritanie;158
Mexique;901
Micronésie;258
Moldavie;302
Mongolie;366
Monténégro;611
Mozambique;58
Namibie;502
Nauru;928
Népal;70
Nicaragua;144
Niger;48
Nigéria;225
Norvège;8736
Nouvelle-Zélande;3329
Oman;1919
Ouganda;68
Ouzbékistan;203
Pakistan;103
Palestine;289
Panama;889
Papouasie-Nouvelle-Guinée;197
Paraguay;496
Pays-Bas;4325
Pérou;530
Philippines;262
Pologne;1103
Portugal;1782
Qatar;7594
République Dominicaine;498
Roumanie;783
Royaume-Uni;3566
Russie;1263
Rwanda;59
Saint-Christophe-et-Niévès;1518
Sainte-Lucie;750
Saint-Vincent-et-les Grenadines;586
Samoa Occidentales;310
Sao Tomé-et-Principe;110
Sénégal;113
Serbie;538
Seychelles;1029
Sierra Leone;54
Singapour;4539
Slovaquie;1523
Slovénie;1937
Somalie;26
Soudan;93
Soudan du Sud;91
Sri Lanka;294
Suède;5150
Suisse;7549
Suriname;724
Swaziland;358
Syrie;107
Tadjikistan;109
Tanzanie;73
Tchad;81
Tchéquie;1618
Thaïlande;468
Timor Oriental;266
Togo;71
Tonga;360
Trinité-et-Tobago;1572
Tunisie;353
Turkménistan;523
Turquie;1048
Tuvalu;471
Ukraine;329
Uruguay;1359
Vanuatu;244
Vénézuela;996
Viêt Nam;183
Yémen;112
Zambie;143
Zimbabwe;100
